,City,Country,Latitude,Longitude,Temparature,Humidity,Cloudiness,Wind Speed,Current Weather
0,Waitara,NZ,-39.0,174.24,21.67,52,92,3.13,light rain
1,Dikson,RU,73.51,80.55,-21.0,82,36,12.7,scattered clouds
2,Hilo,US,19.71,-155.08,23.41,44,75,3.1,broken clouds
3,San Antonio,CL,-33.58,-71.61,16.55,77,0,3.1,clear sky
4,Port Alfred,ZA,-33.59,26.89,17.48,71,12,3.13,few clouds
5,Pathein,MM,16.78,94.73,17.48,88,0,1.45,clear sky
6,Touros,BR,-5.2,-35.46,27.0,88,20,2.1,few clouds
7,Hilo,US,19.71,-155.08,22.79,60,40,4.6,scattered clouds
8,Rikitea,PF,-23.12,-134.97,26.93,99,88,4.63,overcast clouds
10,Tuktoyaktuk,CA,69.44,-133.03,-14.0,84,40,4.1,scattered clouds
12,Bluff,AU,-23.58,149.07,27.83,42,0,5.03,clear sky
13,Paracatu,BR,-17.22,-46.87,24.18,86,32,2.5,scattered clouds
14,Plouzane,FR,48.38,-4.62,9.34,71,0,3.1,clear sky
15,Yellowknife,CA,62.45,-114.38,-8.22,72,75,4.6,broken clouds
16,Katsuura,JP,33.93,134.5,4.0,78,75,2.6,broken clouds
17,Gazanjyk,TM,39.24,55.52,-0.25,80,0,1.0,clear sky
18,Mar Del Plata,AR,-46.43,-67.52,19.68,37,0,8.3,clear sky
19,Carnarvon,ZA,-30.97,22.13,13.23,53,0,3.45,clear sky
20,Mataura,NZ,-46.19,168.86,10.56,85,48,5.36,light rain
21,Saint-Philippe,CA,45.36,-73.48,-13.84,50,1,4.1,clear sky
22,Puerto Ayora,EC,-0.74,-90.35,30.0,66,20,5.1,few clouds
23,Tuktoyaktuk,CA,69.44,-133.03,-14.0,84,40,4.1,scattered clouds
25,Bayan,MN,47.25,107.54,-18.82,49,0,1.35,clear sky
26,Edson,CA,53.59,-116.44,-8.0,48,1,5.7,clear sky
27,Sabang,PH,13.72,123.58,24.08,94,76,4.28,light rain
28,Bluff,AU,-23.58,149.07,27.83,42,0,5.03,clear sky
29,Ushuaia,AR,-54.81,-68.31,7.57,70,40,12.3,scattered clouds
30,Sao Filipe,CV,14.9,-24.5,23.03,85,0,6.63,clear sky
31,North Bend,US,43.41,-124.22,4.02,96,90,4.6,overcast clouds
32,Lasa,CY,34.92,32.53,14.04,77,40,7.7,moderate rain
33,Rikitea,PF,-23.12,-134.97,26.93,99,88,4.63,overcast clouds
34,Arraial Do Cabo,BR,-22.97,-42.02,26.0,88,75,1.5,shower rain
36,Hobart,AU,-42.88,147.33,14.19,62,0,4.1,clear sky
37,Tuktoyaktuk,CA,69.44,-133.03,-14.0,84,40,4.1,scattered clouds
38,Qaanaaq,GL,77.48,-69.36,-25.35,81,20,2.78,few clouds
39,Boyolangu,ID,-8.09,111.9,23.23,90,0,1.23,clear sky
40,Saint George,GR,39.45,22.34,6.45,65,75,2.1,broken clouds
41,Upernavik,GL,72.79,-56.15,-17.47,100,44,7.3,scattered clouds
42,Kapaa,US,22.08,-159.32,24.39,53,1,8.7,clear sky
43,Raisinghnagar,IN,29.54,73.45,10.38,94,8,1.33,clear sky
44,Bayanday,RU,53.07,105.52,-18.17,61,0,0.78,clear sky
45,Lebu,ET,8.96,38.73,4.28,55,0,1.33,clear sky
46,Platanos,GR,35.47,23.6,11.07,99,40,5.7,scattered clouds
47,Busselton,AU,-33.64,115.35,18.5,56,36,7.58,scattered clouds
48,Victoria,BN,5.28,115.24,25.76,78,75,5.7,broken clouds
49,Roswell,US,33.39,-104.52,23.42,11,1,2.6,clear sky
50,Antofagasta,CL,-23.65,-70.4,21.0,77,20,4.6,few clouds
51,Thompson,CA,55.74,-97.86,-12.0,60,75,6.2,broken clouds
52,New Norfolk,AU,-42.78,147.06,15.04,50,20,3.6,few clouds
53,Itapetininga,BR,-23.59,-48.05,21.68,93,56,3.98,broken clouds
54,Albany,US,42.65,-73.75,-8.8,43,90,9.3,overcast clouds
55,Cape Town,ZA,-33.93,18.42,15.63,82,0,1.0,clear sky
56,Butaritari,KI,3.07,172.79,27.61,100,88,7.43,light rain
57,Punta Arenas,CL,-53.16,-70.91,10.75,53,0,7.7,clear sky
58,Farah,AF,32.37,62.11,0.51,79,0,1.1,clear sky
59,Pisco,PE,-13.71,-76.2,22.0,30,75,9.3,broken clouds
60,Hobart,AU,-42.88,147.33,14.19,62,0,4.1,clear sky
61,Byumba,RW,-1.58,30.06,18.94,68,40,1.5,scattered clouds
62,Coquimbo,CL,-29.95,-71.34,17.0,82,40,3.6,scattered clouds
63,Villa Maria,CO,4.5,-74.09,16.0,55,40,4.1,haze
64,Road Town,VG,18.42,-64.62,23.58,88,40,5.7,thunderstorm with rain
65,Chokurdakh,RU,70.62,147.9,-30.75,34,64,3.45,broken clouds
66,Upernavik,GL,72.79,-56.15,-17.47,100,44,7.3,scattered clouds
68,Constitucion,MX,23.99,-104.67,24.88,8,5,5.7,clear sky
69,Neiafu,TO,-18.65,-173.98,27.76,98,20,17.18,light rain
